input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
Want to set aside 5k for vacation next 1 Jan 2026.,5000,INR,5000.0,1 Jan 2026,65,vacation
"I need 1,200 by this summer to buy a tuition.",1200,INR,1200.0,this summer,,tuition
Need 100000 for emergency fund by 1 Jan 2026.,100000,INR,100000.0,1 Jan 2026,65,emergency fund
Want to set aside ₹2500 for smartphone next in 5 months.,2500,INR,2500.0,in 5 months,150,phone
I need 50000 by 1 Jan 2026 to buy a bike.,50000,INR,50000.0,1 Jan 2026,65,bike
Want to set aside Rs. 10000 for tuition next by the end of December.,10000,INR,10000.0,by the end of December,,tuition
I'm aiming to save ₹500 in 25-12-2025 for emergency fund.,500,INR,500.0,25-12-2025,58,emergency fund
I need 2500 by 15 Oct 2025 to buy a tuition.,2500,INR,2500.0,15 Oct 2025,0,tuition
Can I save $25000 over the next in 6 months for smartphone?,25000,USD,25000.0,in 6 months,180,phone
Planning to put ₹5000 towards my gift within within 3 weeks.,5000,INR,5000.0,within 3 weeks,21,gift
Want to set aside ₹10000 for mobile next in 10 days.,10000,INR,10000.0,in 10 days,10,phone
Need 5k for vacation by 1 Jan 2026.,5000,INR,5000.0,1 Jan 2026,65,vacation
Want to set aside ₹1200 for phone next 25-12-2025.,1200,INR,1200.0,25-12-2025,58,phone
Gotta save ten thousand for phone ASAP.,10000,INR,10000.0,31 Dec 2025,64,phone
"Can I save 2,500 over the next in 6 months for car?",2500,INR,2500.0,in 6 months,180,car
Can I save $5000 over the next 31 Dec 2025 for emergency fund?,5000,USD,5000.0,31 Dec 2025,64,emergency fund
"Save 100,000 for car in by the end of December.",100000,INR,100000.0,by the end of December,,car
Can I save Rs. 5000 over the next within 2 weeks for smartphone?,5000,INR,5000.0,within 2 weeks,14,phone
Planning to put Rs. 100000 towards my smartphone within this summer.,100000,INR,100000.0,this summer,,phone
"Want to set aside 1,200 for trip next 25-12-2025.",1200,INR,1200.0,25-12-2025,58,trip
I need Rs. 2500 by over the next 3 months to buy a vacation.,2500,INR,2500.0,over the next 3 months,90,vacation
I need $500 by within 3 weeks to buy a deposit.,500,USD,500.0,within 3 weeks,21,deposit
I'm aiming to save $50000 in this summer for smartphone.,50000,USD,50000.0,this summer,,phone
"Want to set aside 2,500 for groceries next by the end of December.",2500,INR,2500.0,by the end of December,,groceries
"Gotta save 100,000 for trip ASAP.",100000,INR,100000.0,31 Dec 2025,64,trip
Want to set aside Rs. 25000 for bike next 1 Jan 2026.,25000,INR,25000.0,1 Jan 2026,65,bike
Want to set aside 5000 for laptop next in 5 months.,5000,INR,5000.0,in 5 months,150,laptop
I need 5000 by next year to buy a vacation.,5000,INR,5000.0,next year,365,vacation
Gotta save 2500 for laptop ASAP.,2500,INR,2500.0,in 10 days,10,laptop
Planning to put $25000 towards my laptop within within 3 weeks.,25000,USD,25000.0,within 3 weeks,21,laptop
Gotta save 5000 for rent ASAP.,5000,INR,5000.0,this summer,,rent
Planning to put Rs. 10000 towards my rent within by the end of December.,10000,INR,10000.0,by the end of December,,rent
"Gotta save 2,500 for laptop ASAP.",2500,INR,2500.0,Oct 15 2025,0,laptop
Want to set aside Rs. 25000 for medical next in 5 months.,25000,INR,25000.0,in 5 months,150,medical
Can I save $2500 over the next in 10 days for smartphone?,2500,USD,2500.0,in 10 days,10,phone
Gotta save $1200 for emergency fund ASAP.,1200,USD,1200.0,this summer,,emergency fund
"Want to set aside 1,200 for wedding next ASAP.",1200,INR,1200.0,ASAP,7,wedding
Need 2500 for trip by within 2 weeks.,2500,INR,2500.0,within 2 weeks,14,trip
I need $100000 by Oct 15 2025 to buy a vacation.,100000,USD,100000.0,Oct 15 2025,0,vacation
Gotta save $5000 for bike ASAP.,5000,USD,5000.0,next year,365,bike
Planning to put 25000 towards my rent within within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,rent
Save Rs. 25000 for mobile in by 15 Oct 2025.,25000,INR,25000.0,by 15 Oct 2025,,phone
Need $100000 for mobile by July 2026.,100000,USD,100000.0,July 2026,246,phone
"I need 100,000 by next year to buy a savings.",100000,INR,100000.0,next year,365,savings
Planning to put ₹10000 towards my gift within in 5 months.,10000,INR,10000.0,in 5 months,150,gift
Need Rs. 10000 for gift by 1 Jan 2026.,10000,INR,10000.0,1 Jan 2026,65,gift
Save 25k for bike in this summer.,25000,INR,25000.0,this summer,,bike
I need ₹5000 by ASAP to buy a bike.,5000,INR,5000.0,ASAP,7,bike
I need 2500 by 1 Jan 2026 to buy a tuition.,2500,INR,2500.0,1 Jan 2026,65,tuition
Planning to put 100k towards my laptop within 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,laptop
Want to set aside ₹100000 for deposit next by the end of December.,100000,INR,100000.0,by the end of December,,deposit
Save ₹10000 for deposit in in 5 months.,10000,INR,10000.0,in 5 months,150,deposit
Planning to put 500 towards my car within next year.,500,INR,500.0,next year,365,car
I need ₹25000 by within 3 weeks to buy a bike.,25000,INR,25000.0,within 3 weeks,21,bike
Want to set aside 500 for deposit next 1 Jan 2026.,500,INR,500.0,1 Jan 2026,65,deposit
Gotta save 100000 for gift ASAP.,100000,INR,100000.0,31 Dec 2025,64,gift
Need 50k for laptop by in 6 months.,50000,INR,50000.0,in 6 months,180,laptop
I'm aiming to save ₹500 in 15 Oct 2025 for medical.,500,INR,500.0,15 Oct 2025,0,medical
Need 500 for emergency fund by 15 Oct 2025.,500,INR,500.0,this summer,,emergency fund
Can I save ₹10000 over the next by the end of December for smartphone?,10000,INR,10000.0,by the end of December,,phone
Planning to put 100k towards my smartphone within 31 Dec 2025.,100000,INR,100000.0,31 Dec 2025,64,phone
I need 100000 by by 15 Oct 2025 to buy a groceries.,100000,INR,100000.0,by 15 Oct 2025,,groceries
I'm aiming to save 25000 in by 15 Oct 2025 for medical.,25000,INR,25000.0,by 15 Oct 2025,,medical
I'm aiming to save 2500 in July 2026 for laptop.,2500,INR,2500.0,July 2026,246,laptop
I'm aiming to save Rs. 10000 in in 5 months for deposit.,10000,INR,10000.0,in 5 months,150,deposit
Need 50k for smartphone by within 3 weeks.,50000,INR,50000.0,within 3 weeks,21,phone
I'm aiming to save twenty five thousand rupees in ASAP for deposit.,25000,INR,25000.0,ASAP,7,deposit
Gotta save 2500 for medical ASAP.,2500,INR,2500.0,in 10 days,10,medical
Save ₹5000 for car in over the next 3 months.,5000,INR,5000.0,over the next 3 months,90,car
Gotta save $100000 for savings ASAP.,100000,USD,100000.0,ASAP,7,savings
Want to set aside 10k for mobile next next year.,10000,INR,10000.0,next year,365,phone
Want to set aside Rs. 50000 for car next 1 Jan 2026.,50000,INR,50000.0,1 Jan 2026,65,car
"Need 100,000 for laptop by within 3 weeks.",100000,INR,100000.0,within 3 weeks,21,laptop
I need Rs. 2500 by 15 Oct 2025 to buy a medical.,2500,INR,2500.0,15 Oct 2025,0,medical
I'm aiming to save Rs. 500 in next year for deposit.,500,INR,500.0,next year,365,deposit
Gotta save $50000 for rent ASAP.,50000,USD,50000.0,in 5 months,150,rent
I need 500 by by the end of December to buy a deposit.,500,INR,500.0,by the end of December,,deposit
Gotta save 2500 for trip ASAP.,2500,INR,2500.0,in 10 days,10,trip
Want to set aside Rs. 25000 for laptop next Oct 15 2025.,25000,INR,25000.0,Oct 15 2025,0,laptop
Planning to put 25000 towards my bike within next year.,25000,INR,25000.0,next year,365,bike
Can I save 50k over the next next year for car?,50000,INR,50000.0,next year,365,car
Need Rs. 10000 for trip by in 5 months.,10000,INR,10000.0,in 5 months,150,trip
I'm aiming to save $100000 in ASAP for medical.,100000,USD,100000.0,ASAP,7,medical
"I'm aiming to save 1,200 in ASAP for groceries.",1200,INR,1200.0,ASAP,7,groceries
"Planning to put 5,000 towards my phone within within 3 weeks.",5000,INR,5000.0,within 3 weeks,21,phone
Can I save ₹100000 over the next this summer for vacation?,100000,INR,100000.0,this summer,,vacation
I'm aiming to save ₹50000 in this summer for vacation.,50000,INR,50000.0,this summer,,vacation
Can I save Rs. 1200 over the next next year for car?,1200,INR,1200.0,next year,365,car
I'm aiming to save ₹25000 in within 2 weeks for trip.,25000,INR,25000.0,within 2 weeks,14,trip
Need 50000 for bike by within 2 weeks.,50000,INR,50000.0,within 2 weeks,14,bike
Need 100k for medical by within 2 weeks.,100000,INR,100000.0,within 2 weeks,14,medical
Want to set aside $1200 for trip next next year.,1200,USD,1200.0,next year,365,trip
Gotta save ₹1200 for mobile ASAP.,1200,INR,1200.0,25-12-2025,58,phone
Need Rs. 500 for car by 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,car
Gotta save $5000 for tuition ASAP.,5000,USD,5000.0,next year,365,tuition
I need ₹25000 by in 5 months to buy a phone.,25000,INR,25000.0,in 5 months,150,phone
Planning to put ₹25000 towards my trip within in 6 months.,25000,INR,25000.0,in 6 months,180,trip
"Gotta save 25,000 for savings ASAP.",25000,INR,25000.0,1 Jan 2026,65,savings
"Planning to put 5,000 towards my laptop within by the end of December.",5000,INR,5000.0,by the end of December,,laptop
I need 5k by 15 Oct 2025 to buy a gift.,5000,INR,5000.0,15 Oct 2025,0,gift
Save Rs. 10000 for groceries in 15 Oct 2025.,10000,INR,10000.0,15 Oct 2025,0,groceries
Want to set aside $2500 for savings next July 2026.,2500,USD,2500.0,July 2026,246,savings
Want to set aside twenty five thousand rupees for smartphone next by 15 Oct 2025.,25000,INR,25000.0,by 15 Oct 2025,,phone
I need $2500 by within 3 weeks to buy a bike.,2500,USD,2500.0,within 3 weeks,21,bike
Need ₹100000 for wedding by Oct 15 2025.,100000,INR,100000.0,next year,365,wedding
"Want to set aside 1,200 for medical next Oct 15 2025.",1200,INR,1200.0,Oct 15 2025,0,medical
Planning to put Rs. 10000 towards my groceries within 31 Dec 2025.,10000,INR,10000.0,31 Dec 2025,64,groceries
I'm aiming to save $10000 in this summer for vacation.,10000,USD,10000.0,this summer,,vacation
I need 50k by 31 Dec 2025 to buy a bike.,50000,INR,50000.0,31 Dec 2025,64,bike
"I'm aiming to save 100,000 in this summer for bike.",100000,INR,100000.0,this summer,,bike
Save ₹2500 for smartphone in by 15 Oct 2025.,2500,INR,2500.0,by 15 Oct 2025,,phone
Need $10000 for phone by July 2026.,10000,USD,10000.0,by the end of December,,phone
Planning to put 5k towards my deposit within ASAP.,5000,INR,5000.0,ASAP,7,deposit
I'm aiming to save 50000 in ASAP for laptop.,50000,INR,50000.0,ASAP,7,laptop
Can I save Rs. 1200 over the next Oct 15 2025 for deposit?,1200,INR,1200.0,Oct 15 2025,0,deposit
Want to set aside ₹5000 for laptop next in 6 months.,5000,INR,5000.0,in 6 months,180,laptop
Save Rs. 500 for trip in next year.,500,INR,500.0,next year,365,trip
Want to set aside 2500 for car next within 2 weeks.,2500,INR,2500.0,within 2 weeks,14,car
Can I save $5000 over the next this summer for rent?,5000,USD,5000.0,this summer,,rent
Can I save $500 over the next 1 Jan 2026 for rent?,500,USD,500.0,1 Jan 2026,65,rent
I need ₹500 by Oct 15 2025 to buy a savings.,500,INR,500.0,Oct 15 2025,0,savings
"Planning to put 10,000 towards my rent within next year.",10000,INR,10000.0,next year,365,rent
Save 5000 for deposit in 31 Dec 2025.,5000,INR,5000.0,31 Dec 2025,64,deposit
Can I save 100k over the next July 2026 for deposit?,100000,INR,100000.0,July 2026,246,deposit
Need twenty five thousand rupees for savings by within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,savings
I'm aiming to save $5000 in in 5 months for phone.,5000,USD,5000.0,in 5 months,150,phone
"I'm aiming to save 1,200 in in 6 months for vacation.",1200,INR,1200.0,in 6 months,180,vacation
I'm aiming to save 2500 in this summer for smartphone.,2500,INR,2500.0,this summer,,phone
I need 100k by within 3 weeks to buy a trip.,100000,INR,100000.0,within 3 weeks,21,trip
I need $500 by within 3 weeks to buy a phone.,500,USD,500.0,within 3 weeks,21,phone
Save 100000 for wedding in 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,wedding
I need $25000 by in 5 months to buy a car.,25000,USD,25000.0,in 5 months,150,car
Gotta save $50000 for vacation ASAP.,50000,USD,50000.0,in 5 months,150,vacation
I need ₹500 by 1 Jan 2026 to buy a mobile.,500,INR,500.0,1 Jan 2026,65,phone
Want to set aside $5000 for deposit next next year.,5000,USD,5000.0,next year,365,deposit
I need ₹25000 by by the end of December to buy a wedding.,25000,INR,25000.0,by the end of December,,wedding
Need 25000 for phone by 31 Dec 2025.,25000,INR,25000.0,31 Dec 2025,64,phone
Planning to put ₹2500 towards my laptop within July 2026.,2500,INR,2500.0,July 2026,246,laptop
I'm aiming to save Rs. 50000 in in 6 months for groceries.,50000,INR,50000.0,in 6 months,180,groceries
I'm aiming to save $1200 in July 2026 for car.,1200,USD,1200.0,July 2026,246,car
I need Rs. 25000 by 1 Jan 2026 to buy a wedding.,25000,INR,25000.0,1 Jan 2026,65,wedding
I need 25k by Oct 15 2025 to buy a deposit.,25000,INR,25000.0,Oct 15 2025,0,deposit
"Planning to put 10,000 towards my car within within 3 weeks.",10000,INR,10000.0,within 3 weeks,21,car
I'm aiming to save ₹2500 in in 10 days for rent.,2500,INR,2500.0,in 10 days,10,rent
"I need 2,500 by this summer to buy a emergency fund.",2500,INR,2500.0,this summer,,emergency fund
"Planning to put 10,000 towards my medical within next year.",10000,INR,10000.0,next year,365,medical
Gotta save 25000 for savings ASAP.,25000,INR,25000.0,in 6 months,180,savings
Gotta save ₹500 for savings ASAP.,500,INR,500.0,by 15 Oct 2025,,savings
"Need 50,000 for gift by 25-12-2025.",50000,INR,50000.0,ASAP,7,gift
Need Rs. 2500 for tuition by 31 Dec 2025.,2500,INR,2500.0,ASAP,7,tuition
"I need 5,000 by within 3 weeks to buy a trip.",5000,INR,5000.0,within 3 weeks,21,trip
"Need 100,000 for savings by 1 Jan 2026.",100000,INR,100000.0,1 Jan 2026,65,savings
I'm aiming to save 50k in within 3 weeks for vacation.,50000,INR,50000.0,within 3 weeks,21,vacation
"Planning to put 50,000 towards my bike within ASAP.",50000,INR,50000.0,ASAP,7,bike
Can I save 5k over the next this summer for rent?,5000,INR,5000.0,this summer,,rent
Can I save Rs. 1200 over the next ASAP for deposit?,1200,INR,1200.0,ASAP,7,deposit
Can I save ₹1200 over the next within 2 weeks for emergency fund?,1200,INR,1200.0,within 2 weeks,14,emergency fund
Can I save fifteen thousand over the next ASAP for emergency fund?,15000,INR,15000.0,ASAP,7,emergency fund
Gotta save $5000 for medical ASAP.,5000,USD,5000.0,by 15 Oct 2025,,medical
"Can I save 25,000 over the next over the next 3 months for tuition?",25000,INR,25000.0,over the next 3 months,90,tuition
Can I save $25000 over the next by 15 Oct 2025 for rent?,25000,USD,25000.0,by 15 Oct 2025,,rent
I'm aiming to save $10000 in 25-12-2025 for phone.,10000,USD,10000.0,25-12-2025,58,phone
I'm aiming to save $5000 in 15 Oct 2025 for groceries.,5000,USD,5000.0,15 Oct 2025,0,groceries
Need five k for gift by over the next 3 months.,5,INR,5.0,over the next 3 months,90,gift
I need 25000 by next year to buy a deposit.,25000,INR,25000.0,next year,365,deposit
I need 50k by 31 Dec 2025 to buy a tuition.,50000,INR,50000.0,31 Dec 2025,64,tuition
Planning to put Rs. 2500 towards my rent within in 6 months.,2500,INR,2500.0,in 6 months,180,rent
Gotta save $2500 for wedding ASAP.,2500,USD,2500.0,25-12-2025,58,wedding
Can I save Rs. 1200 over the next 1 Jan 2026 for trip?,1200,INR,1200.0,1 Jan 2026,65,trip
I need 10000 by next year to buy a emergency fund.,10000,INR,10000.0,next year,365,emergency fund
Want to set aside 10k for bike next within 2 weeks.,10000,INR,10000.0,within 2 weeks,14,bike
Can I save ₹2500 over the next ASAP for phone?,2500,INR,2500.0,ASAP,7,phone
Save Rs. 5000 for savings in 15 Oct 2025.,5000,INR,5000.0,15 Oct 2025,0,savings
Need $25000 for wedding by Oct 15 2025.,25000,USD,25000.0,Oct 15 2025,0,wedding
Save ₹5000 for gift in within 2 weeks.,5000,INR,5000.0,within 2 weeks,14,gift
Want to set aside 100000 for smartphone next July 2026.,100000,INR,100000.0,July 2026,246,phone
Need 50000 for rent by in 6 months.,50000,INR,50000.0,in 6 months,180,rent
Planning to put $50000 towards my trip within ASAP.,50000,USD,50000.0,ASAP,7,trip
Want to set aside Rs. 100000 for wedding next 25-12-2025.,100000,INR,100000.0,25-12-2025,58,wedding
I need $500 by 15 Oct 2025 to buy a mobile.,500,USD,500.0,15 Oct 2025,0,phone
Gotta save 10000 for wedding ASAP.,10000,INR,10000.0,by the end of December,,wedding
Need 2500 for trip by 1 Jan 2026.,2500,INR,2500.0,next year,365,trip
Can I save 50000 over the next over the next 3 months for mobile?,50000,INR,50000.0,over the next 3 months,90,phone
"Want to set aside 25,000 for phone next by 15 Oct 2025.",25000,INR,25000.0,by 15 Oct 2025,,phone
Can I save 50k over the next in 5 months for tuition?,50000,INR,50000.0,in 5 months,150,tuition
I need ₹25000 by by the end of December to buy a trip.,25000,INR,25000.0,by the end of December,,trip
Need 50000 for laptop by in 6 months.,50000,INR,50000.0,in 6 months,180,laptop
"Planning to put 25,000 towards my rent within Oct 15 2025.",25000,INR,25000.0,Oct 15 2025,0,rent
Want to set aside Rs. 2500 for car next 15 Oct 2025.,2500,INR,2500.0,15 Oct 2025,0,car
Can I save Rs. 50000 over the next this summer for emergency fund?,50000,INR,50000.0,this summer,,emergency fund
Can I save fifteen thousand over the next 31 Dec 2025 for emergency fund?,15000,INR,15000.0,31 Dec 2025,64,emergency fund
I'm aiming to save 10k in 31 Dec 2025 for tuition.,10000,INR,10000.0,31 Dec 2025,64,tuition
I'm aiming to save Rs. 100000 in within 2 weeks for trip.,100000,INR,100000.0,within 2 weeks,14,trip
Can I save ₹25000 over the next over the next 3 months for smartphone?,25000,INR,25000.0,over the next 3 months,90,phone
Gotta save fifteen thousand for deposit ASAP.,15000,INR,15000.0,in 5 months,150,deposit
Gotta save 100000 for trip ASAP.,100000,INR,100000.0,ASAP,7,trip
Planning to put Rs. 1200 towards my deposit within next year.,1200,INR,1200.0,next year,365,deposit
Need Rs. 25000 for deposit by 15 Oct 2025.,25000,INR,25000.0,by the end of December,,deposit
Need ₹10000 for vacation by 15 Oct 2025.,10000,INR,10000.0,15 Oct 2025,0,vacation
Can I save Rs. 50000 over the next ASAP for tuition?,50000,INR,50000.0,ASAP,7,tuition
Planning to put ₹10000 towards my laptop within July 2026.,10000,INR,10000.0,July 2026,246,laptop
Can I save 25k over the next next year for groceries?,25000,INR,25000.0,next year,365,groceries
"Save 50,000 for groceries in in 5 months.",50000,INR,50000.0,in 5 months,150,groceries
Can I save 5000 over the next 31 Dec 2025 for phone?,5000,INR,5000.0,31 Dec 2025,64,phone
Save $500 for phone in 1 Jan 2026.,500,USD,500.0,1 Jan 2026,65,phone
Can I save 50000 over the next 15 Oct 2025 for mobile?,50000,INR,50000.0,15 Oct 2025,0,phone
Can I save Rs. 1200 over the next Oct 15 2025 for groceries?,1200,INR,1200.0,Oct 15 2025,0,groceries
Want to set aside 2500 for emergency fund next Oct 15 2025.,2500,INR,2500.0,Oct 15 2025,0,emergency fund
"Want to set aside 100,000 for laptop next Oct 15 2025.",100000,INR,100000.0,Oct 15 2025,0,laptop
I need Rs. 25000 by this summer to buy a deposit.,25000,INR,25000.0,this summer,,deposit
I need $25000 by by the end of December to buy a laptop.,25000,USD,25000.0,by the end of December,,laptop
I'm aiming to save 10k in by the end of December for emergency fund.,10000,INR,10000.0,by the end of December,,emergency fund
Can I save 25000 over the next within 3 weeks for wedding?,25000,INR,25000.0,within 3 weeks,21,wedding
I'm aiming to save 50000 in 1 Jan 2026 for wedding.,50000,INR,50000.0,1 Jan 2026,65,wedding
"Planning to put 25,000 towards my phone within by the end of December.",25000,INR,25000.0,by the end of December,,phone
I need Rs. 100000 by July 2026 to buy a deposit.,100000,INR,100000.0,July 2026,246,deposit
Save ₹10000 for medical in 25-12-2025.,10000,INR,10000.0,25-12-2025,58,medical
Can I save $1200 over the next 15 Oct 2025 for tuition?,1200,USD,1200.0,15 Oct 2025,0,tuition
Want to set aside ₹1200 for smartphone next 15 Oct 2025.,1200,INR,1200.0,15 Oct 2025,0,phone
Planning to put $25000 towards my emergency fund within next year.,25000,USD,25000.0,next year,365,emergency fund
Want to set aside $100000 for vacation next this summer.,100000,USD,100000.0,this summer,,vacation
Save 1200 for car in 31 Dec 2025.,1200,INR,1200.0,31 Dec 2025,64,car
Save Rs. 2500 for emergency fund in in 5 months.,2500,INR,2500.0,in 5 months,150,emergency fund
Want to set aside $5000 for bike next 25-12-2025.,5000,USD,5000.0,25-12-2025,58,bike
Save 5k for medical in in 5 months.,5000,INR,5000.0,in 5 months,150,medical
I need ten thousand by within 2 weeks to buy a car.,10000,INR,10000.0,within 2 weeks,14,car
Planning to put 5k towards my mobile within in 5 months.,5000,INR,5000.0,in 5 months,150,phone
Gotta save Rs. 500 for groceries ASAP.,500,INR,500.0,in 10 days,10,groceries
Need 5k for groceries by July 2026.,5000,INR,5000.0,by the end of December,,groceries
Gotta save ₹50000 for gift ASAP.,50000,INR,50000.0,within 3 weeks,21,gift
Want to set aside 50000 for phone next July 2026.,50000,INR,50000.0,July 2026,246,phone
Planning to put ₹25000 towards my laptop within in 5 months.,25000,INR,25000.0,in 5 months,150,laptop
I'm aiming to save $25000 in by the end of December for deposit.,25000,USD,25000.0,by the end of December,,deposit
Need ten thousand for laptop by July 2026.,10000,INR,10000.0,by the end of December,,laptop
"Save 5,000 for vacation in in 6 months.",5000,INR,5000.0,in 6 months,180,vacation
Can I save Rs. 50000 over the next within 3 weeks for emergency fund?,50000,INR,50000.0,within 3 weeks,21,emergency fund
Can I save five k over the next within 3 weeks for medical?,5,INR,5.0,within 3 weeks,21,medical
Need 25000 for car by within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,car
Gotta save ₹5000 for wedding ASAP.,5000,INR,5000.0,by the end of December,,wedding
Want to set aside 500 for groceries next next year.,500,INR,500.0,next year,365,groceries
Save $500 for tuition in within 2 weeks.,500,USD,500.0,within 2 weeks,14,tuition
I'm aiming to save ₹5000 in in 5 months for gift.,5000,INR,5000.0,in 5 months,150,gift
"Gotta save 50,000 for vacation ASAP.",50000,INR,50000.0,ASAP,7,vacation
Planning to put $25000 towards my wedding within by the end of December.,25000,USD,25000.0,by the end of December,,wedding
I'm aiming to save ₹25000 in July 2026 for phone.,25000,INR,25000.0,July 2026,246,phone
Save $25000 for gift in Oct 15 2025.,25000,USD,25000.0,Oct 15 2025,0,gift
Can I save ₹2500 over the next ASAP for gift?,2500,INR,2500.0,ASAP,7,gift
I'm aiming to save 100k in next year for phone.,100000,INR,100000.0,next year,365,phone
Want to set aside 5000 for mobile next 25-12-2025.,5000,INR,5000.0,25-12-2025,58,phone
Gotta save $100000 for gift ASAP.,100000,USD,100000.0,1 Jan 2026,65,gift
"Can I save 50,000 over the next 15 Oct 2025 for rent?",50000,INR,50000.0,15 Oct 2025,0,rent
Need Rs. 5000 for phone by 25-12-2025.,5000,INR,5000.0,next year,365,phone
