input,amount,currency,amount_normalized,purpose_canonical,timeframe,target_compact
Need fifteen thousand for wedding by by Diwali.,15000,INR,15000.0,wedding,by Diwali,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:wedding;timeframe:by Diwali
Im aiming to save £500 in before Eid for phone.,500,GBP,500.0,phone,before Eid,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:before Eid
Im aiming to save Rs. 10k in by Diwali for travel.,10000,INR,10000.0,travel,by Diwali,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:by Diwali
I need one fifty thousand by before Eid to buy a vacation.,51000,INR,51000.0,travel,before Eid,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:before Eid
Planning to put £500 towards my gaming rig within this summer.,500,GBP,500.0,gaming_pc,this summer,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:gaming_pc;timeframe:this summer
Save 150k for pc in in 6 months.,150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Can I save £500 over the next by 15 Oct 2025 for laptop,500,GBP,500.0,laptop,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:laptop;timeframe:by 15 Oct 2025
Can I save £500 over the next in 5 months for emergency fund,500,GBP,500.0,emergency_fund,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:emergency_fund;timeframe:in 5 months
Need 150k dollars for vacation by in 6 months.,150000,INR,150000.0,travel,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Planning to put 2000 USD towards my trip within in 6 months.,2000,USD,2000.0,travel,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:in 6 months
Im aiming to save 150k in by New Year for trip.,150000,INR,150000.0,travel,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by New Year
"Im aiming to save $2,000 in in 6 months for pc.",2000,USD,2000.0,gaming_pc,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
I need £500 by by 15 Oct 2025 to buy a vacation.,500,GBP,500.0,travel,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
"Want to set aside 1,50,000 for medical next this summer.",150000,INR,150000.0,medical,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:this summer
"Im aiming to save $2,000 in this summer for vacation.",2000,USD,2000.0,travel,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:this summer
"Can I save ₹25,000 over the next within 3 weeks for gaming pc",25000,INR,25000.0,gaming_pc,within 3 weeks,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:gaming_pc;timeframe:within 3 weeks
Need 1.5 lakh for wedding by by Diwali.,150000,INR,150000.0,wedding,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by Diwali
I need fifteen thousand by next year to buy a laptop.,15000,INR,15000.0,laptop,next year,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:laptop;timeframe:next year
"Can I save 1,50,000 over the next next year for gaming pc",150000,INR,150000.0,gaming_pc,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:next year
Can I save 150k over the next within 3 weeks for gaming rig,150000,INR,150000.0,gaming_pc,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:within 3 weeks
Can I save Rs. 10k over the next this summer for gaming pc,10000,INR,10000.0,gaming_pc,this summer,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gaming_pc;timeframe:this summer
"Im aiming to save $2,000 in next year for trip.",2000,USD,2000.0,travel,next year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:next year
"Save $2,000 for tuition in by Diwali.",2000,USD,2000.0,tuition,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:by Diwali
Gotta save 1.5 lakh for wedding ASAP.,150000,INR,150000.0,wedding,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by 15 Oct 2025
Want to set aside £500 for car next by Diwali.,500,GBP,500.0,car,by Diwali,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:car;timeframe:by Diwali
Save 150k dollars for gaming pc in next year.,150000,INR,150000.0,gaming_pc,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:next year
I need £500 by this summer to buy a tuition.,500,GBP,500.0,tuition,this summer,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:tuition;timeframe:this summer
"Im aiming to save 1,50,000 in next year for car.",150000,INR,150000.0,car,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:next year
Im aiming to save 150k in in 5 months for phone.,150000,INR,150000.0,phone,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:in 5 months
Need one fifty thousand for groceries by within 2 weeks.,51000,INR,51000.0,groceries,within 2 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:groceries;timeframe:within 2 weeks
"Planning to put 1,50,000 towards my tuition within in 5 months.",150000,INR,150000.0,tuition,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:in 5 months
Gotta save 1.5 lakh for deposit ASAP.,150000,INR,150000.0,deposit,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by next Christmas
Im aiming to save £500 in within 3 weeks for emergency fund.,500,GBP,500.0,emergency_fund,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:emergency_fund;timeframe:within 3 weeks
Save 2000 USD for vacation in before Eid.,2000,USD,2000.0,travel,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:before Eid
I need $150k by before Eid to buy a tuition.,150000,USD,150000.0,tuition,before Eid,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:before Eid
Im aiming to save $150k in by 15 Oct 2025 for emergency fund.,150000,USD,150000.0,emergency_fund,by 15 Oct 2025,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:by 15 Oct 2025
Im aiming to save 1.5 lakh in by next Christmas for gaming rig.,150000,INR,150000.0,gaming_pc,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by next Christmas
Want to set aside €3000 for gaming pc next before Eid.,3000,EUR,3000.0,gaming_pc,before Eid,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:before Eid
Save Rs. 10k for deposit in in 5 months.,10000,INR,10000.0,deposit,in 5 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:deposit;timeframe:in 5 months
"Gotta save $2,000 for phone ASAP.",2000,USD,2000.0,phone,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:by Diwali
Save ₹150k for deposit in in 6 months.,150000,INR,150000.0,deposit,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:in 6 months
Im aiming to save 2000 USD in in 5 months for tuition.,2000,USD,2000.0,tuition,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:in 5 months
Need one fifty thousand for smartphone by by Diwali.,51000,INR,51000.0,phone,by Diwali,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by Diwali
Im aiming to save 1.5 lakh in within 3 weeks for car.,150000,INR,150000.0,car,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:within 3 weeks
"Im aiming to save $2,000 in next year for groceries.",2000,USD,2000.0,groceries,next year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:groceries;timeframe:next year
"Want to set aside 1,50,000 for gift next by Diwali.",150000,INR,150000.0,gift,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:by Diwali
"I need 1,50,000 by this summer to buy a bike.",150000,INR,150000.0,bike,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:this summer
Need $150k for bike by this summer.,150000,USD,150000.0,bike,this summer,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:bike;timeframe:this summer
"Planning to put $2,000 towards my bike within in 5 months.",2000,USD,2000.0,bike,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:bike;timeframe:in 5 months
"I need 1,50,000 by in 6 months to buy a gift.",150000,INR,150000.0,gift,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:in 6 months
Planning to put 150k dollars towards my gaming pc within by 15 Oct 2025.,150000,INR,150000.0,gaming_pc,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by 15 Oct 2025
Save $150k for trip in in 5 months.,150000,USD,150000.0,travel,in 5 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 5 months
Want to set aside ₹150k for medical next in 5 months.,150000,INR,150000.0,medical,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:in 5 months
Can I save 150k over the next by Diwali for emergency fund,150000,INR,150000.0,emergency_fund,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:by Diwali
Need one hundred fifty thousand for gaming pc by before Eid.,150000,INR,150000.0,gaming_pc,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:before Eid
Planning to put one fifty thousand towards my medical within next year.,51000,INR,51000.0,medical,next year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:medical;timeframe:next year
"I need 1,50,000 by next year to buy a medical.",150000,INR,150000.0,medical,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:next year
Save 150k dollars for smartphone in in 5 months.,150000,INR,150000.0,phone,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:in 5 months
"Im aiming to save 1,50,000 in before Eid for tuition.",150000,INR,150000.0,tuition,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:before Eid
Save €3000 for deposit in in 6 months.,3000,EUR,3000.0,deposit,in 6 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:deposit;timeframe:in 6 months
Need $150k for phone by by 15 Oct 2025.,150000,USD,150000.0,phone,by 15 Oct 2025,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Planning to put Rs. 10k towards my trip within this summer.,10000,INR,10000.0,travel,this summer,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:this summer
Need Rs. 10k for phone by by New Year.,10000,INR,10000.0,phone,by New Year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:phone;timeframe:by New Year
Planning to put 1.5 lakh towards my car within within 2 weeks.,150000,INR,150000.0,car,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:within 2 weeks
"Planning to put $2,000 towards my tuition within before Eid.",2000,USD,2000.0,tuition,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:before Eid
Can I save ₹150k over the next next year for phone,150000,INR,150000.0,phone,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:next year
I need 1.5 lakh by by Diwali to buy a wedding.,150000,INR,150000.0,wedding,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by Diwali
Planning to put 150k dollars towards my rent within before Eid.,150000,INR,150000.0,rent,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:before Eid
Want to set aside 150k for pc next in 5 months.,150000,INR,150000.0,gaming_pc,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
Im aiming to save 2000 USD in next year for phone.,2000,USD,2000.0,phone,next year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:next year
"I need 1,50,000 by before Eid to buy a gaming pc.",150000,INR,150000.0,gaming_pc,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:before Eid
Want to set aside 150k dollars for groceries next by 15 Oct 2025.,150000,INR,150000.0,groceries,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by 15 Oct 2025
I need 150k dollars by this summer to buy a deposit.,150000,INR,150000.0,deposit,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:this summer
Want to set aside 2000 USD for deposit next by 15 Oct 2025.,2000,USD,2000.0,deposit,by 15 Oct 2025,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:deposit;timeframe:by 15 Oct 2025
Gotta save 150k dollars for smartphone ASAP.,150000,INR,150000.0,phone,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:within 3 weeks
Save €3000 for wedding in this summer.,3000,EUR,3000.0,wedding,this summer,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:wedding;timeframe:this summer
Planning to put 1.5 lakh towards my bike within this summer.,150000,INR,150000.0,bike,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:this summer
Save €3000 for medical in by New Year.,3000,EUR,3000.0,medical,by New Year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:medical;timeframe:by New Year
I need Rs. 10k by by Diwali to buy a phone.,10000,INR,10000.0,phone,by Diwali,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:phone;timeframe:by Diwali
Gotta save one hundred fifty thousand for travel ASAP.,150000,INR,150000.0,travel,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
Want to set aside £500 for tuition next within 3 weeks.,500,GBP,500.0,tuition,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:tuition;timeframe:within 3 weeks
Want to set aside £500 for pc next before Eid.,500,GBP,500.0,gaming_pc,before Eid,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:gaming_pc;timeframe:before Eid
I need 2000 USD by by New Year to buy a trip.,2000,USD,2000.0,travel,by New Year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:by New Year
Need one hundred fifty thousand for travel by next year.,150000,INR,150000.0,travel,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:next year
Im aiming to save 1.5 lakh in within 2 weeks for laptop.,150000,INR,150000.0,laptop,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:within 2 weeks
Want to set aside 2000 USD for groceries next by Diwali.,2000,USD,2000.0,groceries,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:groceries;timeframe:by Diwali
Want to set aside 1.5 lakh for vacation next in 6 months.,150000,INR,150000.0,travel,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
